group,gender,year_birth,total_orders,total_m,total_f,total_o,regency,abandoned_cars,recupered_cars,orders_3,orders_6,orders_9,campaing_subscribe,conversion,spent_category,Others,colina,la reina,macul,maipu,nunoa,penalolen,providencia,puente alto,puerto montt,punta arenas,rancagua,buy_campaing
0,0,3,3,0,100861,0,5,1,0,1,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,3,0,100710,0,6,0,0,1,1,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,4,3,0,100458,0,7,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,2,0,100358,0,5,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,2,0,100150,0,8,1,1,0,0,1,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,1,2,0,99940,0,7,1,1,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,4,4,0,99909,0,4,3,0,1,1,1,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,3,2,0,99750,0,5,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
1,1,3,1,0,99571,0,0,0,0,1,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,2,0,99560,0,7,1,1,1,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,2,0,99502,0,6,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,4,1,0,99462,0,6,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,1,0,99250,0,6,0,0,0,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,3,1,0,98950,0,7,0,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,3,2,60850,38050,0,7,0,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,1,0,98333,0,7,0,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,2,0,97768,0,6,1,1,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,1,0,97375,0,4,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,2,2,0,97180,0,5,0,0,1,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,2,0,96660,0,10,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,1,0,96411,0,1,0,0,1,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,3,2,0,96050,0,5,0,0,1,1,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,2,1,0,95826,0,6,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,3,4,0,95760,0,9,0,0,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,4,2,35397,59700,0,8,0,0,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,1,94959,0,0,6,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,94900,0,8,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,1,0,94850,0,6,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,94540,0,9,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,1,0,94350,0,6,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,3,2,0,94189,0,4,0,0,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,3,2,0,94100,0,2,0,0,1,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,1,0,94060,0,4,0,0,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,4,1,93800,0,0,13,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,3,93760,0,0,20,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,3,0,93510,0,6,0,0,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,2,0,93425,0,7,0,0,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,4,1,0,93380,0,9,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,2,0,93300,0,6,0,0,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,2,0,93020,0,5,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,4,1,0,92530,0,6,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,3,3,0,92200,0,6,0,0,0,1,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,3,3,0,91965,0,8,0,0,1,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,91900,0,14,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,1,0,91850,0,8,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,1,0,91830,0,4,0,0,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,1,0,91573,0,6,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,2,0,91500,0,4,1,0,1,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,1,0,91225,0,3,0,0,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,4,1,0,91054,0,7,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,90825,0,5,0,0,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,90196,0,7,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
